time,close
01-07-13,80.256
01-08-13,80.345
01-09-13,80.557
01-10-13,79.738
01-11-13,79.563
01-14-13,79.488
01-15-13,79.779
01-16-13,79.804
01-17-13,79.649
01-18-13,80.036
01-22-13,79.874
01-23-13,79.92
01-24-13,79.949
01-25-13,79.748
01-28-13,79.767
01-29-13,79.564
01-30-13,79.281
01-31-13,79.207
02-01-13,79.125
02-04-13,79.554
02-05-13,79.488
02-06-13,79.721
02-07-13,80.192
02-08-13,80.246
02-11-13,80.31
02-12-13,80.106
02-13-13,80.091
02-14-13,80.458
02-15-13,80.58
02-19-13,80.468
02-20-13,81.069
02-21-13,81.461
02-22-13,81.482
02-25-13,81.67
02-26-13,81.87
02-27-13,81.602
02-28-13,81.949
03-01-13,82.313
03-04-13,82.195
03-05-13,82.087
03-06-13,82.459
03-07-13,82.081
03-08-13,82.696
03-11-13,82.573
03-12-13,82.584
03-13-13,82.889
03-14-13,82.606
03-15-13,82.261
03-18-13,82.694
03-19-13,82.989
03-20-13,82.779
03-21-13,82.74
03-22-13,82.376
03-25-13,82.828
03-26-13,82.881
03-27-13,83.221
03-28-13,82.998
04-01-13,82.733
04-02-13,82.924
04-03-13,82.718
04-04-13,82.677
04-05-13,82.496
04-08-13,82.752
04-09-13,82.309
04-10-13,82.532
04-11-13,82.247
04-12-13,82.311
04-15-13,82.417
04-16-13,81.749
04-17-13,82.684
04-18-13,82.559
04-19-13,82.714
04-22-13,82.676
04-23-13,83.048
04-24-13,83.048
04-25-13,82.744
04-26-13,82.502
04-29-13,82.147
04-30-13,81.746
05-01-13,81.484
05-02-13,82.224
05-03-13,82.125
05-06-13,82.315
05-07-13,82.253
05-08-13,81.896
05-09-13,82.793
05-10-13,83.143
05-13-13,83.277
05-14-13,83.595
05-15-13,83.83
05-16-13,83.588
05-17-13,84.252
05-20-13,83.736
05-21-13,83.864
05-22-13,84.352
05-23-13,83.8
05-24-13,83.7
05-28-13,84.1
05-29-13,83.66
05-30-13,83.042
05-31-13,83.375
06-03-13,82.656
06-04-13,82.769
06-05-13,82.594
06-06-13,81.537
06-07-13,81.669
06-10-13,81.646
06-11-13,81.113
06-12-13,80.947
06-13-13,80.752
06-14-13,80.67
06-17-13,80.787
06-18-13,80.612
06-19-13,81.428
06-20-13,81.915
06-21-13,82.318
06-24-13,82.425
06-25-13,82.581
06-26-13,82.977
06-27-13,82.902
06-28-13,83.136
07-01-13,83.054
07-02-13,83.544
07-03-13,83.231
07-05-13,84.449
07-08-13,84.193
07-09-13,84.58
07-10-13,84.041
07-11-13,82.746
07-12-13,82.988
07-15-13,83.043
07-16-13,82.498
07-17-13,82.708
07-18-13,82.823
07-19-13,82.607
07-22-13,82.219
07-23-13,81.945
07-24-13,82.291
07-25-13,81.97
07-26-13,81.657
07-29-13,81.663
07-30-13,81.829
07-31-13,81.452
08-01-13,82.336
08-02-13,81.908
08-05-13,81.875
08-06-13,81.603
08-07-13,81.287
08-08-13,80.977
08-09-13,81.126
08-12-13,81.333
08-13-13,81.768
08-14-13,81.711
08-15-13,81.181
08-16-13,81.257
08-19-13,81.226
08-20-13,80.906
08-21-13,81.213
08-22-13,81.488
08-23-13,81.361
08-26-13,81.407
08-27-13,81.166
08-28-13,81.431
08-29-13,81.948
08-30-13,82.087
09-03-13,82.361
09-04-13,82.169
09-05-13,82.633
09-06-13,82.146
09-09-13,81.793
09-10-13,81.821
09-11-13,81.518
09-12-13,81.489
09-13-13,81.452
09-16-13,81.295
09-17-13,81.143
09-18-13,80.237
09-19-13,80.372
09-20-13,80.431
09-23-13,80.449
09-24-13,80.563
09-25-13,80.334
09-26-13,80.523
09-27-13,80.523
09-30-13,80.221
10-01-13,80.141
10-02-13,79.9
10-03-13,79.749
10-04-13,80.122
10-07-13,79.941
10-08-13,80.06
10-09-13,80.376
10-10-13,80.417
