time,usdjpy close,usejpy volume,eurusd close,eurusd volume
2015-09-17 02:00:00,120.716,8247.0,1.12962,5539.0
2015-09-17 06:00:00,120.847,12641.0,1.13299,15435.0
2015-09-17 10:00:00,120.897,7435.0,1.132805,13617.0
2015-09-17 14:00:00,120.948,11060.0,1.13043,16678.0
2015-09-17 18:00:00,120.005,38676.0,1.14345,41514.0
2015-09-17 22:00:00,119.7925,15118.0,1.140375,8207.0
2015-09-18 02:00:00,119.831,16527.0,1.14046,7296.0
2015-09-18 06:00:00,119.2515,17209.0,1.14489,18423.0
2015-09-18 10:00:00,119.361,16033.0,1.142265,22869.0
2015-09-18 14:00:00,119.844,18756.0,1.136685,25464.0
2015-09-18 18:00:00,119.9855,11441.0,1.130035,13320.0
2015-09-20 22:00:00,119.8095,8038.0,1.13057,4232.0
2015-09-21 02:00:00,119.7835,5794.0,1.13147,4454.0
2015-09-21 06:00:00,120.2915,12560.0,1.12972,15917.0
2015-09-21 10:00:00,120.4485,11237.0,1.124515,19091.0
2015-09-21 14:00:00,120.295,14548.0,1.121255,23144.0
2015-09-21 18:00:00,120.5585,8247.0,1.118895,6140.0
2015-09-21 22:00:00,120.434,4846.0,1.11947,2423.0
2015-09-22 02:00:00,120.442,4466.0,1.12014,3290.0
2015-09-22 06:00:00,119.944,13948.0,1.11966,18014.0
2015-09-22 10:00:00,119.8685,15091.0,1.11546,21981.0
2015-09-22 14:00:00,119.9705,17335.0,1.112435,24457.0
2015-09-22 18:00:00,120.161,8934.0,1.112755,6197.0
2015-09-22 22:00:00,120.2655,5668.0,1.11076,3289.0
2015-09-23 02:00:00,119.753,9314.0,1.113545,4425.0
2015-09-23 06:00:00,120.2595,16135.0,1.11126,16474.0
2015-09-23 10:00:00,120.204,13026.0,1.113165,21803.0
2015-09-23 14:00:00,120.199,18241.0,1.117345,27588.0
2015-09-23 18:00:00,120.274,10610.0,1.118525,10423.0
2015-09-23 22:00:00,120.154,7737.0,1.11813,3857.0
2015-09-24 02:00:00,120.0325,12107.0,1.119235,6112.0
2015-09-24 06:00:00,120.077,15434.0,1.119895,18509.0
2015-09-24 10:00:00,119.529,20305.0,1.125125,27658.0
2015-09-24 14:00:00,119.59,24918.0,1.1255,29847.0
2015-09-24 18:00:00,120.0595,15116.0,1.123275,9955.0
2015-09-24 22:00:00,120.32,13846.0,1.11696,9437.0
2015-09-25 02:00:00,120.2235,14345.0,1.11686,6065.0
2015-09-25 06:00:00,121.05,18940.0,1.11397,19013.0
2015-09-25 10:00:00,120.972,16857.0,1.11568,22414.0
2015-09-25 14:00:00,120.7395,21302.0,1.11864,27082.0
2015-09-25 18:00:00,120.6005,15278.0,1.119795,10868.0
2015-09-27 22:00:00,120.4405,10368.0,1.11957,4083.0
2015-09-28 02:00:00,120.3075,8264.0,1.11841,4247.0
2015-09-28 06:00:00,120.265,16710.0,1.118035,17049.0
2015-09-28 10:00:00,120.253,14222.0,1.115705,21547.0
2015-09-28 14:00:00,119.795,22122.0,1.123795,30254.0
2015-09-28 18:00:00,119.9245,11453.0,1.12441,9118.0
2015-09-28 22:00:00,119.709,8139.0,1.12434,3434.0
2015-09-29 02:00:00,119.513,11072.0,1.126225,5340.0
2015-09-29 06:00:00,119.9375,20965.0,1.122755,20748.0
2015-09-29 10:00:00,120.0135,14794.0,1.12053,21301.0
2015-09-29 14:00:00,119.688,25954.0,1.12608,32303.0
2015-09-29 18:00:00,119.739,12268.0,1.12491,8930.0
2015-09-29 22:00:00,119.9825,8403.0,1.12476,3553.0
2015-09-30 02:00:00,119.8745,9576.0,1.125515,4887.0
2015-09-30 06:00:00,120.2325,13571.0,1.12282,17101.0
2015-09-30 10:00:00,120.115,12910.0,1.119395,18976.0
2015-09-30 14:00:00,119.664,21727.0,1.118195,27273.0
2015-09-30 18:00:00,119.8815,10803.0,1.11768,8947.0
2015-09-30 22:00:00,119.8805,7664.0,1.11728,2732.0
2015-10-01 02:00:00,120.228,11662.0,1.11496,4389.0
2015-10-01 06:00:00,120.067,11183.0,1.11637,12747.0
2015-10-01 10:00:00,119.726,15113.0,1.116245,19348.0
2015-10-01 14:00:00,119.7455,15636.0,1.11961,19744.0
2015-10-01 18:00:00,119.9245,8310.0,1.119435,7747.0
2015-10-01 22:00:00,119.9235,6538.0,1.11901,3468.0
2015-10-02 02:00:00,119.934,8221.0,1.117565,5195.0
2015-10-02 06:00:00,120.1265,9376.0,1.116355,11880.0
2015-10-02 10:00:00,119.186,18825.0,1.12868,22987.0
2015-10-02 14:00:00,119.785,36825.0,1.12418,38080.0
2015-10-02 18:00:00,119.9355,18441.0,1.121205,15479.0
2015-10-04 22:00:00,120.008,9698.0,1.12214,5272.0
2015-10-05 02:00:00,120.006,9027.0,1.12335,5448.0
2015-10-05 06:00:00,120.187,13269.0,1.12589,18097.0
2015-10-05 10:00:00,120.224,11800.0,1.121185,22387.0
2015-10-05 14:00:00,120.4645,15806.0,1.118715,23858.0
2015-10-05 18:00:00,120.463,7397.0,1.118795,5879.0
