time,open,high,low,close
9/17/15 2:00,120.5315,120.716,120.3485,120.716
9/17/15 6:00,120.716,120.98,120.7095,120.847
9/17/15 10:00,120.847,120.99,120.8055,120.897
9/17/15 14:00,120.897,120.9735,120.79,120.948
9/17/15 18:00,120.948,120.993,119.795,120.005
9/17/15 22:00,120.005,120.2555,119.664,119.7925
9/18/15 2:00,119.7925,120.417,119.692,119.831
9/18/15 6:00,119.831,119.893,119.179,119.2515
9/18/15 10:00,119.2515,119.499,119.057,119.361
9/18/15 14:00,119.361,120.0015,119.2625,119.844
9/18/15 18:00,119.844,120.0375,119.7345,119.9855
9/20/15 22:00,119.9855,120.186,119.7765,119.8095
9/21/15 2:00,119.8095,119.9085,119.7285,119.7835
9/21/15 6:00,119.7835,120.2935,119.7835,120.2915
9/21/15 10:00,120.2915,120.5785,120.2425,120.4485
9/21/15 14:00,120.4485,120.658,120.242,120.295
9/21/15 18:00,120.295,120.6245,120.29,120.5585
9/21/15 22:00,120.5585,120.617,120.389,120.434
9/22/15 2:00,120.434,120.4755,120.3325,120.442
9/22/15 6:00,120.442,120.5445,119.829,119.944
9/22/15 10:00,119.944,120.001,119.704,119.8685
9/22/15 14:00,119.8685,120.1795,119.694,119.9705
9/22/15 18:00,119.9705,120.1615,119.8525,120.161
9/22/15 22:00,120.161,120.328,119.9965,120.2655
9/23/15 2:00,120.2655,120.2775,119.6625,119.753
9/23/15 6:00,119.753,120.3165,119.627,120.2595
9/23/15 10:00,120.2595,120.291,120.068,120.204
9/23/15 14:00,120.204,120.5435,120.0525,120.199
9/23/15 18:00,120.199,120.3535,120.094,120.274
9/23/15 22:00,120.274,120.391,120.1465,120.154
9/24/15 2:00,120.154,120.2825,119.8595,120.0325
9/24/15 6:00,120.0325,120.134,119.9105,120.077
9/24/15 10:00,120.077,120.1735,119.377,119.529
9/24/15 14:00,119.529,119.8225,119.2245,119.59
9/24/15 18:00,119.59,120.087,119.5285,120.0595
9/24/15 22:00,120.0595,120.3815,120.0595,120.32
9/25/15 2:00,120.32,120.377,120.0245,120.2235
9/25/15 6:00,120.2235,121.1245,120.222,121.05
9/25/15 10:00,121.05,121.237,120.772,120.972
9/25/15 14:00,120.972,120.9935,120.505,120.7395
9/25/15 18:00,120.7395,120.9235,120.4495,120.6005
9/27/15 22:00,120.6005,120.6005,120.2525,120.4405
9/28/15 2:00,120.4405,120.467,120.254,120.3075
9/28/15 6:00,120.3075,120.4455,120.167,120.265
9/28/15 10:00,120.265,120.341,119.9995,120.253
9/28/15 14:00,120.253,120.325,119.6965,119.795
9/28/15 18:00,119.795,120.03,119.713,119.9245
9/28/15 22:00,119.9245,120.0235,119.604,119.709
9/29/15 2:00,119.709,119.767,119.4885,119.513
9/29/15 6:00,119.513,120.049,119.25,119.9375
9/29/15 10:00,119.9375,120.027,119.7605,120.0135
9/29/15 14:00,120.0135,120.163,119.626,119.688
9/29/15 18:00,119.688,119.863,119.5345,119.739
9/29/15 22:00,119.739,120.0235,119.696,119.9825
9/30/15 2:00,119.9825,120.035,119.7285,119.8745
9/30/15 6:00,119.8745,120.31,119.8685,120.2325
9/30/15 10:00,120.2325,120.3485,120.01,120.115
9/30/15 14:00,120.115,120.2565,119.5505,119.664
9/30/15 18:00,119.664,119.9965,119.661,119.8815
9/30/15 22:00,119.8815,119.966,119.7615,119.8805
10/1/15 2:00,119.8805,120.2775,119.825,120.228
10/1/15 6:00,120.228,120.2685,120.036,120.067
10/1/15 10:00,120.067,120.1345,119.6135,119.726
10/1/15 14:00,119.726,119.8715,119.492,119.7455
10/1/15 18:00,119.7455,119.961,119.656,119.9245
10/1/15 22:00,119.9245,119.9425,119.783,119.9235
10/2/15 2:00,119.9235,120.052,119.875,119.934
10/2/15 6:00,119.934,120.1635,119.925,120.1265
10/2/15 10:00,120.1265,120.408,118.9465,119.186
10/2/15 14:00,119.186,119.928,118.681,119.785
10/2/15 18:00,119.785,120.1305,119.714,119.9355
10/4/15 22:00,119.9355,120.102,119.887,120.008
10/5/15 2:00,120.008,120.1195,119.872,120.006
10/5/15 6:00,120.006,120.232,119.911,120.187
10/5/15 10:00,120.187,120.3055,120.143,120.224
10/5/15 14:00,120.224,120.5285,120.154,120.4645
10/5/15 18:00,120.4645,120.5515,120.4065,120.463
10/5/15 22:00,120.463,120.5035,120.4025,120.467
10/6/15 2:00,120.467,120.5705,120.3965,120.5075
10/6/15 6:00,120.5075,120.5165,120.124,120.361
10/6/15 10:00,120.361,120.41,120.2705,120.3855
10/6/15 14:00,120.3855,120.4945,120.1095,120.2695
10/6/15 18:00,120.2695,120.38,120.179,120.2275
10/6/15 22:00,120.2275,120.362,120.1865,120.319
10/7/15 2:00,120.319,120.345,119.751,120.066
10/7/15 6:00,120.066,120.1585,119.9125,120.0495
10/7/15 10:00,120.0495,120.182,119.9655,120.005
10/7/15 14:00,120.005,120.094,119.747,119.94
10/7/15 18:00,119.94,120.0265,119.8915,120.0135
10/7/15 22:00,120.0135,120.036,119.839,120.015
10/8/15 2:00,120.015,120.112,119.8255,119.867
10/8/15 6:00,119.867,119.8825,119.629,119.774
10/8/15 10:00,119.774,119.984,119.7145,119.877
10/8/15 14:00,119.877,119.9815,119.8285,119.9155
10/8/15 18:00,119.9155,120.028,119.681,119.934
10/8/15 22:00,119.934,119.9825,119.863,119.945
10/9/15 2:00,119.945,120.0045,119.8395,119.9795
10/9/15 6:00,119.9795,120.22,119.965,120.21
10/9/15 10:00,120.21,120.348,120.147,120.25
10/9/15 14:00,120.25,120.3395,120.216,120.2755
10/9/15 18:00,120.2755,120.2995,120.179,120.223
10/11/15 22:00,120.223,120.261,120.09,120.121
10/12/15 2:00,120.121,120.225,120.0915,120.1575
10/12/15 6:00,120.1575,120.22,120.1245,120.1695
10/12/15 10:00,120.1695,120.1865,120.0985,120.129
10/12/15 14:00,120.129,120.153,119.9,119.927
10/12/15 18:00,119.927,120.042,119.896,120.035
10/12/15 22:00,120.035,120.0815,119.9475,119.9605
10/13/15 2:00,119.9605,119.965,119.808,119.844
10/13/15 6:00,119.844,119.884,119.6055,119.694
10/13/15 10:00,119.694,119.8205,119.5535,119.591
10/13/15 14:00,119.591,119.904,119.566,119.7625
10/13/15 18:00,119.7625,119.8415,119.7145,119.7425
10/13/15 22:00,119.7425,119.8055,119.5095,119.5125
10/14/15 2:00,119.5125,119.728,119.4815,119.6505
10/14/15 6:00,119.6505,119.738,119.431,119.4665
