xauusd_time,open,high,low,close,range
2015-09-17 01:00:00,95.295,95.348,95.136,95.22,0.2120000000000033
2015-09-17 05:00:00,95.226,95.383,95.213,95.291,0.1700000000000017
2015-09-17 09:00:00,95.3,95.387,95.106,95.172,0.2810000000000059
2015-09-17 13:00:00,95.173,95.271,95.119,95.271,0.15200000000000102
2015-09-17 17:00:00,95.282,95.354,94.483,94.55,0.8709999999999951
2015-09-17 21:00:00,94.562,94.678,94.36,94.536,0.31799999999999784
2015-09-18 01:00:00,94.654,94.704,94.505,94.553,0.19899999999999807
2015-09-18 05:00:00,94.557,94.658,94.472,94.567,0.18600000000000705
2015-09-18 09:00:00,94.576,94.579,94.063,94.25,0.5159999999999911
2015-09-18 13:00:00,94.248,94.701,94.148,94.701,0.5529999999999973
2015-09-18 17:00:00,94.7,94.896,94.644,94.863,0.25199999999999534
2015-09-20 21:00:00,95.308,95.317,95.144,95.152,0.1729999999999876
2015-09-21 01:00:00,95.145,95.176,95.05,95.101,0.12600000000000477
2015-09-21 05:00:00,95.098,95.249,95.039,95.249,0.20999999999999375
2015-09-21 09:00:00,95.254,95.598,95.237,95.54,0.3610000000000042
2015-09-21 13:00:00,95.551,95.978,95.514,95.75,0.46399999999999864
2015-09-21 17:00:00,95.756,95.918,95.751,95.916,0.1670000000000016
2015-09-21 21:00:00,95.913,95.945,95.893,95.934,0.0519999999999925
2015-09-22 01:00:00,95.918,95.927,95.774,95.814,0.1530000000000058
2015-09-22 05:00:00,95.812,96.088,95.794,95.973,0.29399999999999693
2015-09-22 09:00:00,95.971,96.054,95.759,96.044,0.2950000000000017
2015-09-22 13:00:00,96.047,96.331,95.983,96.33,0.347999999999999
2015-09-22 17:00:00,96.315,96.404,96.186,96.283,0.2179999999999893
2015-09-22 21:00:00,96.289,96.368,96.225,96.32,0.14300000000000068
2015-09-23 01:00:00,96.306,96.484,96.242,96.299,0.24199999999999022
2015-09-23 05:00:00,96.297,96.441,96.227,96.284,0.21399999999999864
2015-09-23 09:00:00,96.273,96.478,96.141,96.202,0.3369999999999891
2015-09-23 13:00:00,96.206,96.548,96.105,96.455,0.44299999999999784
2015-09-23 17:00:00,96.43,96.457,96.024,96.068,0.4329999999999927
2015-09-23 21:00:00,96.076,96.262,96.058,96.197,0.20399999999999352
2015-09-24 01:00:00,96.246,96.303,96.124,96.138,0.17900000000000205
2015-09-24 05:00:00,96.139,96.19,95.959,96.037,0.23099999999999454
2015-09-24 09:00:00,96.043,96.181,95.849,95.885,0.33199999999999363
2015-09-24 13:00:00,95.887,95.92,95.458,95.499,0.4620000000000033
2015-09-24 17:00:00,95.495,96.016,95.491,95.994,0.5250000000000057
2015-09-24 21:00:00,95.989,96.332,95.892,96.304,0.4399999999999977
2015-09-25 01:00:00,96.248,96.355,96.188,96.27,0.1670000000000016
2015-09-25 05:00:00,96.28,96.422,96.249,96.334,0.17300000000000182
2015-09-25 09:00:00,96.343,96.664,96.32,96.354,0.3440000000000083
2015-09-25 13:00:00,96.35,96.7,96.187,96.383,0.5130000000000052
2015-09-25 17:00:00,96.381,96.447,96.182,96.269,0.26500000000000057
2015-09-27 21:00:00,96.271,96.271,96.084,96.198,0.1869999999999976
2015-09-28 01:00:00,96.196,96.263,96.14,96.237,0.12300000000000466
2015-09-28 05:00:00,96.238,96.371,96.151,96.256,0.21999999999999886
2015-09-28 09:00:00,96.258,96.48,96.105,96.431,0.375
2015-09-28 13:00:00,96.435,96.501,95.901,95.945,0.6000000000000085
2015-09-28 17:00:00,95.944,96.077,95.91,95.974,0.1670000000000016
2015-09-28 21:00:00,95.97,96.026,95.916,96.011,0.10999999999999943
2015-09-29 01:00:00,96.03,96.069,95.839,95.889,0.23000000000000398
2015-09-29 05:00:00,95.886,95.931,95.708,95.8,0.22299999999999898
2015-09-29 09:00:00,95.81,96.082,95.726,95.992,0.35599999999999454
2015-09-29 13:00:00,95.991,96.237,95.927,96.113,0.30999999999998806
2015-09-29 17:00:00,96.107,96.124,95.818,95.855,0.3059999999999974
2015-09-29 21:00:00,95.861,95.947,95.802,95.895,0.14499999999999602
2015-09-30 01:00:00,95.923,96.002,95.87,95.885,0.1319999999999908
2015-09-30 05:00:00,95.884,96.119,95.852,96.116,0.2669999999999959
2015-09-30 09:00:00,96.115,96.187,95.993,96.093,0.19400000000000261
2015-09-30 13:00:00,96.092,96.39,96.037,96.329,0.35299999999999443
2015-09-30 17:00:00,96.341,96.413,96.215,96.35,0.1979999999999933
2015-09-30 21:00:00,96.334,96.365,96.213,96.282,0.15200000000000102
2015-10-01 01:00:00,96.268,96.368,96.231,96.316,0.13700000000000045
2015-10-01 05:00:00,96.313,96.476,96.313,96.435,0.1629999999999967
2015-10-01 09:00:00,96.445,96.49,96.265,96.389,0.22499999999999432
2015-10-01 13:00:00,96.402,96.407,95.971,95.987,0.43599999999999284
2015-10-01 17:00:00,95.988,96.202,95.966,96.185,0.2360000000000042
2015-10-01 21:00:00,96.186,96.22,96.099,96.101,0.12099999999999511
2015-10-02 01:00:00,96.135,96.185,96.053,96.142,0.132000000000005
2015-10-02 05:00:00,96.14,96.266,96.14,96.222,0.12600000000000477
2015-10-02 09:00:00,96.225,96.379,96.222,96.306,0.1570000000000107
2015-10-02 13:00:00,96.309,96.364,95.218,95.524,1.1460000000000008
2015-10-02 17:00:00,95.531,95.948,95.468,95.83,0.47999999999998977
2015-10-04 21:00:00,95.864,95.952,95.833,95.871,0.11899999999999977
2015-10-05 01:00:00,95.863,95.871,95.692,95.76,0.17900000000000205
2015-10-05 05:00:00,95.765,95.845,95.572,95.642,0.27299999999999613
2015-10-05 09:00:00,95.645,95.939,95.451,95.928,0.48799999999999955
2015-10-05 13:00:00,95.937,96.167,95.835,96.092,0.33200000000000784
2015-10-05 17:00:00,96.086,96.169,96.049,96.069,0.11999999999999034
2015-10-05 21:00:00,96.087,96.096,96.013,96.08,0.08299999999999841
2015-10-06 01:00:00,96.051,96.164,96.012,96.113,0.15200000000000102
2015-10-06 05:00:00,96.107,96.148,95.989,96.051,0.15899999999999181
2015-10-06 09:00:00,96.049,96.08,95.86,95.908,0.21999999999999886
2015-10-06 13:00:00,95.909,95.958,95.54,95.564,0.41799999999999216
2015-10-06 17:00:00,95.553,95.573,95.44,95.455,0.13299999999999557
2015-10-06 21:00:00,95.459,95.501,95.398,95.463,0.10300000000000864
2015-10-07 01:00:00,95.473,95.542,95.415,95.442,0.12699999999999534
2015-10-07 05:00:00,95.445,95.508,95.327,95.491,0.18099999999999739
2015-10-07 09:00:00,95.493,95.664,95.44,95.459,0.22400000000000375
2015-10-07 13:00:00,95.464,95.698,95.347,95.552,0.3509999999999991
2015-10-07 17:00:00,95.561,95.602,95.377,95.497,0.22500000000000853
2015-10-07 21:00:00,95.499,95.609,95.476,95.573,0.13299999999999557
2015-10-08 01:00:00,95.567,95.612,95.456,95.525,0.1559999999999917
2015-10-08 05:00:00,95.516,95.527,95.409,95.425,0.117999999999995
2015-10-08 09:00:00,95.433,95.433,95.094,95.221,0.33900000000001285
2015-10-08 13:00:00,95.226,95.614,95.201,95.359,0.4130000000000109
2015-10-08 17:00:00,95.354,95.392,94.984,95.318,0.40800000000000125
2015-10-08 21:00:00,95.316,95.356,95.26,95.297,0.09599999999998943
2015-10-09 01:00:00,95.234,95.34,95.207,95.266,0.13300000000000978
2015-10-09 05:00:00,95.277,95.317,95.183,95.268,0.13399999999998613
2015-10-09 09:00:00,95.271,95.291,94.793,94.813,0.49799999999999045
2015-10-09 13:00:00,94.814,95.012,94.721,94.88,0.2909999999999968
2015-10-09 17:00:00,94.895,94.909,94.692,94.813,0.21700000000001296
2015-10-11 21:00:00,94.856,94.885,94.751,94.775,0.13400000000000034
2015-10-12 01:00:00,94.776,94.834,94.741,94.773,0.09300000000000352
2015-10-12 05:00:00,94.772,94.83,94.678,94.727,0.15200000000000102
2015-10-12 09:00:00,94.723,94.809,94.619,94.77,0.18999999999999773
2015-10-12 13:00:00,94.776,94.846,94.707,94.709,0.13900000000001
2015-10-12 17:00:00,94.719,94.883,94.703,94.864,0.1799999999999926
2015-10-12 21:00:00,94.878,94.903,94.851,94.877,0.05200000000000671
2015-10-13 01:00:00,94.896,94.982,94.862,94.898,0.12000000000000455
2015-10-13 05:00:00,94.896,94.925,94.712,94.739,0.21299999999999386
2015-10-13 09:00:00,94.742,94.887,94.539,94.81,0.347999999999999
2015-10-13 13:00:00,94.809,94.933,94.674,94.82,0.25900000000000034
2015-10-13 17:00:00,94.817,94.834,94.706,94.758,0.1280000000000001
2015-10-13 21:00:00,94.767,94.809,94.693,94.764,0.11599999999999966
2015-10-14 01:00:00,94.755,94.785,94.631,94.68,0.15399999999999636
2015-10-14 05:00:00,94.681,94.724,94.603,94.63,0.12100000000000932
2015-10-14 09:00:00,94.626,94.635,94.434,94.54,0.20100000000000762
2015-10-14 13:00:00,94.535,94.597,94.224,94.284,0.37299999999999045
2015-10-14 17:00:00,94.289,94.312,93.93,93.931,0.3819999999999908
2015-10-14 21:00:00,93.932,94.015,93.845,93.912,0.1700000000000017
2015-10-15 01:00:00,93.96,94.062,93.879,93.888,0.18299999999999272
2015-10-15 05:00:00,93.886,93.965,93.818,93.914,0.14700000000000557
2015-10-15 09:00:00,93.905,94.16,93.806,94.076,0.3539999999999992
2015-10-15 13:00:00,94.078,94.589,94.018,94.414,0.570999999999998
2015-10-15 17:00:00,94.417,94.46,94.155,94.371,0.3049999999999926
2015-10-15 21:00:00,94.372,94.483,94.353,94.438,0.13000000000000966
2015-10-16 01:00:00,94.472,94.592,94.467,94.499,0.125
2015-10-16 05:00:00,94.495,94.516,94.369,94.429,0.14700000000000557
2015-10-16 09:00:00,94.452,94.752,94.376,94.692,0.37599999999999056
2015-10-16 13:00:00,94.689,94.7,94.421,94.54,0.27899999999999636
2015-10-16 17:00:00,94.538,94.771,94.467,94.54,0.30400000000000205
2015-10-18 21:00:00,94.647,94.711,94.58,94.607,0.13100000000000023
2015-10-19 01:00:00,94.606,94.722,94.552,94.66,0.1699999999999875
2015-10-19 05:00:00,94.663,94.775,94.557,94.646,0.21800000000000352
2015-10-19 09:00:00,94.643,94.942,94.642,94.787,0.29999999999999716
2015-10-19 13:00:00,94.789,95.0,94.739,94.928,0.2609999999999957
2015-10-19 17:00:00,94.935,94.988,94.893,94.914,0.09499999999999886
2015-10-19 21:00:00,94.942,94.945,94.875,94.917,0.06999999999999318
2015-10-20 01:00:00,94.941,94.953,94.861,94.888,0.09199999999999875
2015-10-20 05:00:00,94.896,94.935,94.871,94.889,0.06400000000000716
2015-10-20 09:00:00,94.882,94.913,94.594,94.628,0.3190000000000026
2015-10-20 13:00:00,94.624,94.891,94.614,94.849,0.277000000000001
2015-10-20 17:00:00,94.845,94.93,94.747,94.913,0.18300000000000693
2015-10-20 21:00:00,94.907,94.923,94.823,94.855,0.10000000000000853
2015-10-21 01:00:00,94.848,94.856,94.762,94.798,0.09399999999999409
2015-10-21 05:00:00,94.802,94.918,94.761,94.889,0.1570000000000107
2015-10-21 09:00:00,94.888,94.949,94.722,94.831,0.22700000000000387
2015-10-21 13:00:00,94.836,95.015,94.795,94.899,0.21999999999999886
2015-10-21 17:00:00,94.892,95.058,94.829,95.035,0.22900000000001342
2015-10-21 21:00:00,95.031,95.077,95.006,95.048,0.07099999999999795
2015-10-22 01:00:00,95.039,95.082,94.95,94.983,0.1319999999999908
2015-10-22 05:00:00,94.982,95.073,94.943,95.0,0.12999999999999545
2015-10-22 09:00:00,95.002,95.174,94.961,95.095,0.21300000000000807
